id,Last Updated,Observation Start,Observation End
DEXJPUS,2015-07-27 15:51:45-05,1971-01-04,2015-07-24
DEXKOUS,2015-07-27 15:51:42-05,1981-04-13,2015-07-24
DEXMAUS,2015-07-27 15:51:41-05,1971-01-04,2015-07-24
DEXMXUS,2015-07-27 15:51:39-05,1993-11-08,2015-07-24
DEXNOUS,2015-07-27 15:51:38-05,1971-01-04,2015-07-24
DEXSDUS,2015-07-27 15:51:36-05,1971-01-04,2015-07-24
DEXSFUS,2015-07-27 15:51:34-05,1971-01-04,2015-07-24
DEXSIUS,2015-07-27 15:51:33-05,1981-01-02,2015-07-24
DEXSLUS,2015-07-27 15:51:32-05,1973-01-02,2015-07-24
DEXSZUS,2015-07-27 15:51:29-05,1971-01-04,2015-07-24
DEXTAUS,2015-07-27 15:51:28-05,1983-10-03,2015-07-24
DEXTHUS,2015-07-27 15:51:26-05,1981-01-02,2015-07-24
DEXUSAL,2015-07-27 15:51:25-05,1971-01-04,2015-07-24
DEXUSEU,2015-07-27 15:51:23-05,1999-01-04,2015-07-24
DEXUSNZ,2015-07-27 15:51:22-05,1971-01-04,2015-07-24
DEXUSUK,2015-07-27 15:51:21-05,1971-01-04,2015-07-24
DEXVZUS,2015-07-27 15:51:19-05,1995-01-02,2015-07-24
DFEDTARL,2015-07-31 06:01:02-05,2008-12-16,2015-07-30
DFEDTARU,2015-07-31 06:01:02-05,2008-12-16,2015-07-30
DFF,2015-07-30 15:26:40-05,1954-07-01,2015-07-29
DFII10,2015-07-30 15:26:36-05,2003-01-02,2015-07-29
DFII20,2015-07-30 15:26:36-05,2004-07-27,2015-07-29
DFII30,2015-07-30 15:26:35-05,2010-02-22,2015-07-29
DFII5,2015-07-30 15:26:35-05,2003-01-02,2015-07-29
DFII7,2015-07-30 15:26:34-05,2003-01-02,2015-07-29
DGASNYH,2015-07-29 13:41:30-05,1986-06-02,2015-07-27
DGASUSGULF,2015-07-29 13:41:31-05,1986-06-02,2015-07-27
DGS1,2015-07-30 15:26:34-05,1962-01-02,2015-07-29
DGS10,2015-07-30 15:26:31-05,1962-01-02,2015-07-29
DGS1MO,2015-07-30 15:26:29-05,2001-07-31,2015-07-29
DGS2,2015-07-30 15:26:29-05,1976-06-01,2015-07-29
DGS20,2015-07-30 15:26:27-05,1993-10-01,2015-07-29
DGS3,2015-07-30 15:26:26-05,1962-01-02,2015-07-29
DGS30,2015-07-30 15:26:24-05,1977-02-15,2015-07-29
DGS3MO,2015-07-30 15:26:22-05,1982-01-04,2015-07-29
DGS5,2015-07-30 15:26:21-05,1962-01-02,2015-07-29
DGS6MO,2015-07-30 15:26:19-05,1982-01-04,2015-07-29
DGS7,2015-07-30 15:26:18-05,1969-07-01,2015-07-29
DHHNGSP,2015-07-29 14:56:02-05,1997-01-07,2015-07-27
DHOILNYH,2015-07-29 13:41:32-05,1986-06-02,2015-07-27
DJCA,2015-07-30 18:36:02-05,2005-07-29,2015-07-30
DJFUELUSGULF,2015-07-29 13:41:33-05,1990-04-02,2015-07-27
DJIA,2015-07-30 18:36:02-05,2005-07-29,2015-07-30
DJTA,2015-07-30 18:36:02-05,2005-07-29,2015-07-30
DJUA,2015-07-30 18:36:01-05,2005-07-29,2015-07-30
DLTIIT,2015-07-30 15:26:17-05,2003-01-02,2015-07-29
DPCREDIT,2015-07-30 15:26:16-05,2003-01-09,2015-07-29
DPRIME,2015-07-30 15:26:16-05,1955-08-04,2015-07-29
DPROPANEMBTX,2015-07-29 13:41:33-05,1992-07-09,2015-07-27
DRGASLA,2015-07-29 13:41:34-05,2003-03-11,2015-07-27
DSWP1,2015-07-30 15:26:14-05,2000-07-03,2015-07-29
DSWP10,2015-07-30 15:26:13-05,2000-07-03,2015-07-29
DSWP2,2015-07-30 15:26:12-05,2000-07-03,2015-07-29
DSWP3,2015-07-30 15:26:12-05,2000-07-03,2015-07-29
DSWP30,2015-07-30 15:26:11-05,2000-07-03,2015-07-29
DSWP4,2015-07-30 15:26:11-05,2000-07-03,2015-07-29
DSWP5,2015-07-30 15:26:10-05,2000-07-03,2015-07-29
DSWP7,2015-07-30 15:26:10-05,2000-07-03,2015-07-29
DTB1YR,2015-07-30 15:26:09-05,1959-07-15,2015-07-29
DTB3,2015-07-30 15:26:07-05,1954-01-04,2015-07-29
DTB4WK,2015-07-30 15:26:04-05,2001-07-31,2015-07-29
DTB6,2015-07-30 15:26:03-05,1958-12-09,2015-07-29
DTP10J16,2015-07-31 06:21:02-05,2006-01-13,2015-07-30
DTP10J17,2015-07-31 06:21:02-05,2007-01-16,2015-07-30
DTP10J18,2015-07-31 06:21:02-05,2008-01-14,2015-07-30
DTP10J19,2015-07-31 06:21:03-05,2009-01-08,2015-07-30
DTP10J20,2015-07-31 06:21:03-05,2010-01-13,2015-07-30
DTP10J21,2015-07-31 06:21:03-05,2011-01-21,2015-07-30
DTP10J22,2015-07-31 06:21:03-05,2012-01-20,2015-07-30
DTP10J23,2015-07-31 06:21:03-05,2013-01-25,2015-07-30
DTP10J24,2015-07-31 06:21:04-05,2014-01-31,2015-07-30
DTP10L15,2015-07-16 08:01:34-05,2005-07-22,2015-07-15
DTP10L16,2015-07-31 06:21:04-05,2006-07-14,2015-07-30
DTP10L17,2015-07-31 06:21:04-05,2007-07-13,2015-07-30
DTP10L18,2015-07-31 06:21:05-05,2008-07-21,2015-07-30
DTP10L19,2015-07-31 06:21:05-05,2009-07-08,2015-07-30
