Date,Values,Delta Calculations,Delta - Mean(-9.54364046504e-05)
1998-04-29,4.52,-0.020000000000000462,-0.01990456359535006
1998-04-30,4.51,-0.009999999999999787,-0.009904563595349386
1998-05-01,4.51,0.0,9.54364046504e-05
1998-05-05,4.47,-0.040000000000000036,-0.039904563595349635
1998-05-06,4.49,0.020000000000000462,0.020095436404650863
1998-05-07,4.53,0.040000000000000036,0.040095436404650436
1998-05-08,4.55,0.019999999999999574,0.020095436404649974
1998-05-11,4.54,-0.009999999999999787,-0.009904563595349386
1998-05-12,4.54,0.0,9.54364046504e-05
1998-05-13,4.55,0.009999999999999787,0.010095436404650188
1998-05-14,4.55,0.0,9.54364046504e-05
1998-05-15,4.54,-0.009999999999999787,-0.009904563595349386
1998-05-18,4.54,0.0,9.54364046504e-05
1998-05-19,4.55,0.009999999999999787,0.010095436404650188
1998-05-20,4.56,0.009999999999999787,0.010095436404650188
1998-05-21,4.59,0.03000000000000025,0.03009543640465065
1998-05-22,4.6,0.009999999999999787,0.010095436404650188
1998-05-26,4.65,0.05000000000000071,0.05009543640465111
1998-05-27,4.66,0.009999999999999787,0.010095436404650188
1998-05-28,4.68,0.019999999999999574,0.020095436404649974
1998-05-29,4.71,0.03000000000000025,0.03009543640465065
1998-06-01,4.79,0.08000000000000007,0.08009543640465047
1998-06-02,4.79,0.0,9.54364046504e-05
1998-06-03,4.8,0.009999999999999787,0.010095436404650188
1998-06-04,4.8,0.0,9.54364046504e-05
1998-06-05,4.81,0.009999999999999787,0.010095436404650188
1998-06-08,4.83,0.020000000000000462,0.020095436404650863
1998-06-09,4.83,0.0,9.54364046504e-05
1998-06-10,4.85,0.019999999999999574,0.020095436404649974
1998-06-11,4.88,0.03000000000000025,0.03009543640465065
1998-06-12,4.92,0.040000000000000036,0.040095436404650436
1998-06-15,5.02,0.09999999999999964,0.10009543640465005
1998-06-16,5.03,0.010000000000000675,0.010095436404651076
1998-06-17,5.02,-0.010000000000000675,-0.009904563595350274
1998-06-18,5.04,0.020000000000000462,0.020095436404650863
1998-06-19,5.07,0.03000000000000025,0.03009543640465065
1998-06-22,5.06,-0.010000000000000675,-0.009904563595350274
1998-06-23,5.07,0.010000000000000675,0.010095436404651076
1998-06-24,5.07,0.0,9.54364046504e-05
1998-06-25,5.05,-0.020000000000000462,-0.01990456359535006
1998-06-26,5.05,0.0,9.54364046504e-05
1998-06-29,5.09,0.040000000000000036,0.040095436404650436
1998-06-30,5.1,0.009999999999999787,0.010095436404650188
1998-07-01,5.14,0.040000000000000036,0.040095436404650436
1998-07-02,5.19,0.05000000000000071,0.05009543640465111
1998-07-06,5.33,0.13999999999999968,0.14009543640465008
1998-07-07,5.36,0.03000000000000025,0.03009543640465065
1998-07-08,5.37,0.009999999999999787,0.010095436404650188
1998-07-09,5.42,0.04999999999999982,0.05009543640465022
1998-07-10,5.47,0.04999999999999982,0.05009543640465022
1998-07-13,5.44,-0.02999999999999936,-0.02990456359534896
1998-07-14,5.41,-0.03000000000000025,-0.029904563595349848
1998-07-15,5.39,-0.020000000000000462,-0.01990456359535006
1998-07-16,5.34,-0.04999999999999982,-0.04990456359534942
